City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Ulladulla,AU,2022-04-26 00:26:29,-35.35,150.4667,291.65,71,100,0.3
218,Glasgow,GB,2022-04-26 00:22:30,55.8652,-4.2576,281.01,80,63,2.57
219,Bontang,ID,2022-04-26 00:26:30,0.1333,117.5,297.39,91,100,3.08
220,Kariba,ZW,2022-04-26 00:26:30,-16.5167,28.8,293.97,73,28,1.57
221,Anchorage,US,2022-04-26 00:26:31,61.2181,-149.9003,286.71,51,0,4.63
222,Stokmarknes,NO,2022-04-26 00:26:31,68.5646,14.9108,270.14,68,100,3.09
223,Hofn,IS,2022-04-26 00:26:32,64.2539,-15.2082,277.4,94,100,3.15
224,Basey,PH,2022-04-26 00:26:32,11.2817,125.0683,300.69,86,99,2.65
225,Sosnovka,RU,2022-04-26 00:26:33,56.255,51.2842,281.86,88,90,3.39
226,Champerico,GT,2022-04-26 00:27:33,14.3,-91.9167,300.45,66,7,4.36
227,Diego De Almagro,CL,2022-04-26 00:27:34,-26.3667,-70.05,289.27,57,3,1.08
228,Rundu,NA,2022-04-26 00:27:34,-17.9333,19.7667,290.1,47,3,2.01
229,Rocha,UY,2022-04-26 00:27:34,-34.4833,-54.3333,291.2,97,93,1.6
230,Marzuq,YE,2022-04-26 00:27:35,14.4,46.4667,296.01,60,98,1.98
231,Soledar,UA,2022-04-26 00:27:35,48.6794,38.089,286.37,74,88,1.78
232,Cilegon,ID,2022-04-26 00:27:35,-6.0174,106.0538,300.09,81,100,2.45
233,Bay Roberts,CA,2022-04-26 00:27:36,47.5999,-53.2648,276.85,93,100,4.47
234,Nouadhibou,MR,2022-04-26 00:27:36,20.931,-17.0347,292.14,88,1,3.09
235,Kavieng,PG,2022-04-26 00:23:22,-2.5744,150.7967,302.24,69,47,4.81
236,Teya,RU,2022-04-26 00:27:37,60.3778,92.6267,273.12,92,100,2.89
237,Mandalgovi,MN,2022-04-26 00:27:37,45.7625,106.2708,268.74,35,30,5.73
238,Hasaki,JP,2022-04-26 00:23:47,35.7333,140.8333,295.53,86,100,5.47
239,Karratha,AU,2022-04-26 00:27:38,-20.7377,116.8463,298.45,55,70,3.23
240,Srednekolymsk,RU,2022-04-26 00:27:38,67.45,153.6833,264.16,88,100,2.88
241,Severo-Kurilsk,RU,2022-04-26 00:27:38,50.6789,156.125,273.63,96,97,10.37
242,Shelburne,CA,2022-04-26 00:22:55,44.0787,-80.2041,282.66,97,100,4.74
243,Visby,SE,2022-04-26 00:27:39,57.6409,18.296,279.27,70,75,4.12
244,Chokurdakh,RU,2022-04-26 00:26:36,70.6333,147.9167,261.91,89,77,1.79
245,Fortuna,US,2022-04-26 00:27:40,40.5982,-124.1573,289.18,80,20,5.14
246,Bilma,NE,2022-04-26 00:27:40,18.6853,12.9164,304.15,12,0,0.71
247,Eureka,US,2022-04-26 00:25:27,40.8021,-124.1637,290.79,79,99,3.13
248,Netrakona,BD,2022-04-26 00:27:40,24.8833,90.7167,297.83,91,1,3.31
249,Kropotkin,RU,2022-04-26 00:27:41,45.4375,40.5756,287.73,79,74,3.22
